objid,RA,DEC,z,mk,mw4
1.2376548812738399e+18,214.882920712247,5.06292645401938,0.0875879,12.684,9.589
1.2376548812739054e+18,214.964210870576,5.06109818522733,0.08747078,12.389,9.067
1.237652901304533e+18,45.1243181726944,-7.17722550497492,0.02983955,12.293,9.244
1.2376529013045985e+18,45.3083114313753,-7.22329562122517,0.03007924,11.324,8.278
1.2376607659044378e+18,115.502081964101,20.5906221289032,0.09216165,13.473,7.488
1.2376607659044378e+18,115.467391274285,20.5689261962078,0.09083332,13.215,8.226
1.237653587944211e+18,120.268151225456,39.4067736785784,0.06731376,13.483,9.181
1.2376535879442107e+18,120.245487801117,39.403666467099,0.06892544,13.148,9.266
1.237671260658729e+18,126.615483665481,8.74348426952891,0.08185665,13.032,8.142
1.2376712606587292e+18,126.581395763351,8.73384515385464,0.08132408,13.017,8.725
1.237654382514602e+18,136.979101820916,52.2347870171236,0.06116979,13.317,7.597
1.2376543825145367e+18,136.952709643235,52.2027084240506,0.06086419,11.843,9.022
1.2376578732545147e+18,139.223496063783,38.8054105774726,0.05040332,12.637,8.465
1.237657873254515e+18,139.258868253366,38.8231986708839,0.05147443,12.291,8.997
1.2376583043492088e+18,146.879457835267,54.4734051196997,0.0474397,13.142,8.752
1.2376583043492088e+18,146.840711213283,54.473836753055,0.04682021,11.475,9.127
1.237664338790187e+18,177.555548543372,37.7696592853499,0.05448788,12.7,8.697
1.237664338790187e+18,177.558278226212,37.7751676963903,0.05495868,12.443,6.958
1.237648720158065e+18,182.497450072405,-0.896957487226985,0.07945877,13.106,8.703
1.237648720158065e+18,182.476887268225,-0.918166991002751,0.07915194,12.928,8.958
1.2376679122043538e+18,186.256398077237,25.6115180640438,0.0775441,13.156,9.144
1.2376679122043538e+18,186.207197228809,25.5974826345431,0.07900296,13.086,9.148
1.2376517352292355e+18,200.899474066995,1.37059376177155,0.05705421,13.213,9.327
1.2376517352292355e+18,200.919604445732,1.36182255987604,0.05677432,12.646,6.224
1.2376682971392904e+18,206.504700787239,17.9971471133418,0.07295901,13.298,8.919
1.23766829713929e+18,206.535544331668,18.0134262464656,0.07223767,11.647,8.948
1.23766791114385e+18,218.848831594022,20.9392453064915,0.07783989,13.239,8.782
1.23766791114385e+18,218.858064753634,20.9375956012901,0.07801893,13.117,7.429
1.2376613817036966e+18,159.669812705205,38.4042950341603,0.08524516,13.11,8.489
1.2376613817036966e+18,159.653359100068,38.4149981746698,0.08424401,12.902,9.076
1.237657401335153e+18,117.013430158461,28.0283301919661,0.02709855,12.637,6.182
1.237657401335153e+18,117.075978840884,28.0364364385279,0.02721391,11.79,6.556
1.2376637884948155e+18,124.135208569732,57.5574600945206,0.02659275,13.083,7.152
1.2376637884948155e+18,124.064059195914,57.5305400683112,0.02718242,12.333,7.062
1.2376613833128676e+18,155.163525982531,38.511416289389,0.05474751,13.404,9.128
1.2376613833128676e+18,155.186881095467,38.5209116982729,0.0533217,11.277,9.2
1.2376546058666642e+18,169.40993403474,5.05576058837972,0.04667205,12.264,8.563
1.2376551255394877e+18,169.232487445964,5.00523672553257,0.04658879,12.23,9.115
1.2376711280512863e+18,175.825004117845,-1.54644230187827,0.07736063,12.922,8.183
1.237671142016942e+18,174.664010674868,-1.53715373949645,0.07686093,12.293,7.621
